ID,NAME,Stream URL,Logo URL,Quality
skyportspremierleague,Sky Sports Premier League,https://wowza5.leisertv.com/live/skyportspremierleaguehd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/skyportspremierleague.png?raw=true,HD
skysportsgolf,Sky Sports Golf,https://wowza2.leisertv.com/live/skysportsgolfhd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/skysportsgolf.png?raw=true,HD
skysportsf1,Sky Sports F1,https://wowza5.leisertv.com/live/skysportsf1hd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/skysportsf1.png?raw=true,HD
skysportsfootball,Sky Sports Football,https://wowza1.leisertv.com/live/skysportsfootballhd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/skysportsfootball.png?raw=true,HD
skysportsarena,Sky Sports Arena,https://wowza1.leisertv.com/live/skysportsarenahd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/skysportsarena.png?raw=true,HD
btsports1,BT Sport 1,https://wowza5.leisertv.com/live/btsports1hd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/btsports1.png?raw=true,HD
btsports2,BT Sport 2,https://wowza5.leisertv.com/live/btsports2hd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/btsports2.png?raw=true,HD
btsports3,BT Sport 3,https://wowza5.leisertv.com/live/btsports3hd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/btsports3.png?raw=true,HD
btsportsespn,BT Sport ESPN,https://wowza1.leisertv.com/live/btsportsespnhd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/btsportsespn.png?raw=true,HD
tvn,TVN,https://wowza1.leisertv.com/live/tvn.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/tvn.png?raw=true,
channel4,Channel 4,https://wowza5.leisertv.com/live/channel4hd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/channel4.png?raw=true,HD
iconcert,iConcert,https://wowza2.leisertv.com/live/iconcert.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/iconcert.png?raw=true,
mtvrocks,MTV Rocks,https://wowza1.leisertv.com/live/mtvrocks.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/mtvrocks.png?raw=true,
mtveurope,MTV Europe,https://wowza1.leisertv.com/live/mtveurope.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/mtveurope.png?raw=true,
clubmtv,Club MTV,https://wowza5.leisertv.com/live/clubmtv.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/clubmtv.png?raw=true,
myhits,My Hits,https://wowza1.leisertv.com/live/myhitshd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/myhits.png?raw=true,HD
traceurban,Trace Urban,https://wowza2.leisertv.com/live/traceurbanhd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/traceurban.png?raw=true,HD
vh1,VH1,https://wowza1.leisertv.com/live/vh1.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/vh1.png?raw=true,
mezzo,Mezzo TV,https://wowza2.leisertv.com/live/mezzo.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/mezzo.png?raw=true,
rtl2,RTL 2,https://wowza2.leisertv.com/live/rtl2.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/rtl2.png?raw=true,
pro7,ProSieben,https://wowza2.leisertv.com/live/pro7.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/pro7.png?raw=true,
sat1,Sat.1,https://wowza2.leisertv.com/live/sat1.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/sat1.png?raw=true,
yletv1,Yle TV1,https://wowza1.leisertv.com/live/yletv1.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/yletv1.png?raw=true,
yletv2,Yle TV2,https://wowza1.leisertv.com/live/yletv2.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/yletv2.png?raw=true,
film4,Film4,https://wowza5.leisertv.com/live/film4hd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/film4.png?raw=true,HD
bbcone,BBC One,https://wowza5.leisertv.com/live/bbconehd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/bbcone.png?raw=true,HD
bbctwo,BBC Two,https://wowza5.leisertv.com/live/bbctwohd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/bbctwo.png?raw=true,HD
